id;catalogNumber;recordedBy;eventdate;higherGeography;eventRemarks;preparations
551;MPEG.ANL 000349;Froehlich, E.M.;01/04/1983;Mato Grosso;;Etanol - 8
552;MPEG.ANL 000332;"dos Santos, R.; Rousseau, Guillaume";01/06/2010;Maranhão, Alcântara;;Etanol - 2
553;MPEG.ANL 000327;"Muñoz, J.; Rousseau, Guillaume; Cabezas, R.";28/05/2014;Maranhão, Rosário;;Etanol - 1
554;MPEG.ANL 000328;"Muñoz, J.; Rousseau, Guillaume; Cabezas, R.";28/05/2014;Maranhão, Rosário;;Etanol - 1
555;MPEG.ANL 000335;Mascarenhas, B.;15/06/1984;Pará;;Etanol - 1
556;MPEG.ANL 000347;Ditadi, A.S.F.;27/02/1983;Mato Grosso;;Etanol - 4
557;MPEG.ANL 000338;Nunes, A.L.;28/06/1984;Pará;;Etanol - 1
558;MPEG.ANL 000355;Mascarenhas, B.;29/10/1985;Pará, Carajás;;Etanol - 9
559;MPEG.ANL 000333;"dos Santos, R.; Rousseau, Guillaume";01/06/2010;Maranhão, Alcântara;;Etanol - 3
560;MPEG.ANL 000344;Overal, W.L.;12/03/1984;Pará;;Etanol - 2
561;MPEG.ANL 000336;Mascarenhas, B.;15/06/1984;Pará;;Etanol - 1
562;MPEG.ANL 000343;Overal, W.L.;13/03/1984;Pará;;Etanol - 1
563;MPEG.ANL 000329;"dos Santos, R.; Rousseau, Guillaume";01/06/2010;Maranhão, Alcântara;;Etanol - 1
564;MPEG.ANL 000301;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
565;MPEG.ANL 000320;"Muñoz, J.; Rousseau, Guillaume; Cabezas, R.";20/06/2014;Maranhão, Itinga do Maranhão;;Etanol - 1
566;MPEG.ANL 000323;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
567;MPEG.ANL 000316;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
568;MPEG.ANL 000315;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
569;MPEG.ANL 000306;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
570;MPEG.ANL 000342;Overal, W.L.;13/03/1984;Pará;;Etanol - 1
571;MPEG.ANL 000312;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 3
572;MPEG.ANL 000309;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
573;MPEG.ANL 000314;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
574;MPEG.ANL 000321;"Muñoz, J.; Rousseau, Guillaume; Cabezas, R.";28/05/2014;Maranhão, Rosário;;Etanol - 1
575;MPEG.ANL 000324;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";18/05/2015;Maranhão, Alcântara;;Etanol - 1
576;MPEG.ANL 000307;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
577;MPEG.ANL 000302;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
