id;taxonRank;taxonomicStatus;publishingCountry;hasCoordinate;hasGeospatialIssues
588;GENUS;DOUBTFUL;BR;TRUE;FALSE
589;GENUS;DOUBTFUL;BR;TRUE;FALSE
590;GENUS;DOUBTFUL;BR;TRUE;FALSE
591;GENUS;DOUBTFUL;BR;TRUE;FALSE
592;GENUS;DOUBTFUL;BR;TRUE;FALSE
593;GENUS;DOUBTFUL;BR;TRUE;FALSE
594;GENUS;DOUBTFUL;BR;TRUE;FALSE
595;GENUS;DOUBTFUL;BR;TRUE;FALSE
596;GENUS;DOUBTFUL;BR;TRUE;FALSE
597;KINGDOM;;BR;TRUE;FALSE
598;KINGDOM;;BR;TRUE;FALSE
599;GENUS;DOUBTFUL;BR;TRUE;FALSE
600;GENUS;DOUBTFUL;BR;TRUE;FALSE
601;GENUS;DOUBTFUL;BR;TRUE;FALSE
602;GENUS;DOUBTFUL;BR;TRUE;FALSE
603;KINGDOM;;BR;TRUE;FALSE
604;GENUS;DOUBTFUL;BR;TRUE;FALSE
605;KINGDOM;;BR;TRUE;FALSE
606;GENUS;DOUBTFUL;BR;TRUE;FALSE
607;GENUS;ACCEPTED;BR;TRUE;FALSE
608;GENUS;DOUBTFUL;BR;TRUE;FALSE
609;GENUS;DOUBTFUL;BR;TRUE;FALSE
610;GENUS;DOUBTFUL;BR;TRUE;FALSE
611;GENUS;DOUBTFUL;BR;TRUE;FALSE
612;GENUS;DOUBTFUL;BR;TRUE;FALSE
613;SPECIES;ACCEPTED;BR;TRUE;FALSE
614;KINGDOM;;BR;TRUE;FALSE
615;GENUS;DOUBTFUL;BR;TRUE;FALSE
616;KINGDOM;;BR;TRUE;FALSE
617;GENUS;DOUBTFUL;BR;TRUE;FALSE
618;GENUS;DOUBTFUL;BR;TRUE;FALSE
619;KINGDOM;;BR;TRUE;FALSE
620;KINGDOM;;BR;TRUE;FALSE
621;GENUS;DOUBTFUL;BR;TRUE;FALSE
622;GENUS;DOUBTFUL;BR;TRUE;FALSE
623;GENUS;DOUBTFUL;BR;TRUE;FALSE
624;KINGDOM;;BR;TRUE;FALSE
625;GENUS;DOUBTFUL;BR;TRUE;FALSE
626;GENUS;DOUBTFUL;BR;TRUE;FALSE
627;KINGDOM;;BR;TRUE;FALSE
628;GENUS;DOUBTFUL;BR;TRUE;FALSE
629;GENUS;DOUBTFUL;BR;TRUE;FALSE
630;KINGDOM;;BR;TRUE;FALSE
631;GENUS;DOUBTFUL;BR;TRUE;FALSE
632;KINGDOM;;BR;TRUE;FALSE
633;KINGDOM;;BR;TRUE;FALSE
634;GENUS;DOUBTFUL;BR;TRUE;FALSE
635;GENUS;DOUBTFUL;BR;TRUE;FALSE
636;GENUS;DOUBTFUL;BR;TRUE;FALSE
637;KINGDOM;;BR;TRUE;FALSE
638;GENUS;ACCEPTED;BR;TRUE;FALSE
639;GENUS;DOUBTFUL;BR;TRUE;FALSE
