id;specimentype;species;scientificName;verbatimScientificName;sp_kingdom;sp_phylum;sp_class;sp_order;sp_family;sp_genus;genericName;specificEpithet;infraspecificEpithet;iucnRedListCategory
705;;;incertae sedis;;incertae sedis;;;;;;;;;
706;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
707;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
708;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
709;;;Loimia Malmgren, 1866;Loimia;Animalia;Annelida;Polychaeta;;Terebellidae;Loimia;Loimia;;;
710;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
711;;;Rhinodrilus Perrier, 1872;Rhinodrilus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Rhinodrilus;Rhinodrilus;;;
712;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
713;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
714;;;incertae sedis;;incertae sedis;;;;;;;;;
715;;;Phyllodoce Lamarck, 1818;Phyllodoce;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Phyllodoce;Phyllodoce;;;
716;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
717;;Capitella capitata;Capitella capitata (Fabricius, 1780);Capitella capitata;Animalia;Annelida;Polychaeta;;Capitellidae;Capitella;Capitella;capitata;;NE
718;;;incertae sedis;;incertae sedis;;;;;;;;;
719;;Alitta succinea;Neanthes succinea (Leuckart, 1847);Neanthes succinea;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Alitta;Neanthes;succinea;;NE
720;;Alitta succinea;Neanthes succinea (Leuckart, 1847);Neanthes succinea;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Alitta;Neanthes;succinea;;NE
721;;;incertae sedis;;incertae sedis;;;;;;;;;
722;;Sabellaria wilsoni;Sabellaria wilsoni Lana & Gruet, 1989;Sabellaria wilsoni;Animalia;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria;wilsoni;;NE
723;;;Chaetacanthus Seidler, 1922;Chaetacanthus;Animalia;Annelida;Polychaeta;Phyllodocida;Polynoidae;Chaetacanthus;Chaetacanthus;;;
724;;;Hemipodus Quatrefages, 1866;Hemipodus;Animalia;Annelida;Polychaeta;Phyllodocida;Glyceridae;Hemipodia;Hemipodus;;;
725;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
726;;Laeonereis culveri;Laeonereis culveri (Webster, 1879);Laeonereis culveri;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Laeonereis;Laeonereis;culveri;;NE
727;;;Phyllodoce Lamarck, 1818;Phyllodoce;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Phyllodoce;Phyllodoce;;;
728;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
729;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
730;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
731;;;Syllis Lamarck, 1818;Syllis;Animalia;Annelida;Polychaeta;Phyllodocida;Syllidae;Syllis;Syllis;;;
732;;;incertae sedis;;incertae sedis;;;;;;;;;
733;;;Bonuania Pillai, 1965;Bonuania;Animalia;Annelida;Polychaeta;Phyllodocida;Hesionidae;Bonuania;Bonuania;;;
734;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
735;;;Marphysa Quatrefages, 1866;Marphysa;Animalia;Annelida;Polychaeta;Eunicida;Eunicidae;Marphysa;Marphysa;;;
736;;;Eulalia Savigny, 1822;Eulalia;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eulalia;Eulalia;;;
737;;;Ceratonereis Kinberg, 1865;Ceratonereis excisa;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Ceratonereis;Ceratonereis;;;
738;;Nereis oligohalina;Nereis oligohalina (Rioja, 1946);Nereis oligohalina;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Nereis;Nereis;oligohalina;;NE
739;;Nereis oligohalina;Nereis oligohalina (Rioja, 1946);Nereis oligohalina;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Nereis;Nereis;oligohalina;;NE
740;;;incertae sedis;;incertae sedis;;;;;;;;;
741;;;incertae sedis;;incertae sedis;;;;;;;;;
742;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
743;;;Hydroides Gunnerus, 1768;Hydroides;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Hydroides;Hydroides;;;
744;;;incertae sedis;;incertae sedis;;;;;;;;;
745;;;incertae sedis;;incertae sedis;;;;;;;;;
746;;;incertae sedis;;incertae sedis;;;;;;;;;
747;;;incertae sedis;;incertae sedis;;;;;;;;;
748;;;incertae sedis;;incertae sedis;;;;;;;;;
749;;;incertae sedis;;incertae sedis;;;;;;;;;
750;;;incertae sedis;;incertae sedis;;;;;;;;;
751;;;incertae sedis;;incertae sedis;;;;;;;;;
752;;;incertae sedis;;incertae sedis;;;;;;;;;
753;;;incertae sedis;;incertae sedis;;;;;;;;;
754;;;incertae sedis;;incertae sedis;;;;;;;;;
755;;;incertae sedis;;incertae sedis;;;;;;;;;
756;;;incertae sedis;;incertae sedis;;;;;;;;;
757;;;incertae sedis;;incertae sedis;;;;;;;;;
758;;;incertae sedis;;incertae sedis;;;;;;;;;
759;;;incertae sedis;;incertae sedis;;;;;;;;;
760;;;incertae sedis;;incertae sedis;;;;;;;;;
761;;;incertae sedis;;incertae sedis;;;;;;;;;
762;;;incertae sedis;;incertae sedis;;;;;;;;;
763;;;incertae sedis;;incertae sedis;;;;;;;;;
764;;;incertae sedis;;incertae sedis;;;;;;;;;
765;;;incertae sedis;;incertae sedis;;;;;;;;;
766;;;incertae sedis;;incertae sedis;;;;;;;;;
767;;;incertae sedis;;incertae sedis;;;;;;;;;
768;;;incertae sedis;;incertae sedis;;;;;;;;;
769;;;incertae sedis;;incertae sedis;;;;;;;;;
770;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
771;;;incertae sedis;;incertae sedis;;;;;;;;;
772;;;incertae sedis;;incertae sedis;;;;;;;;;
773;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
774;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
775;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
776;;;incertae sedis;;incertae sedis;;;;;;;;;
777;;;incertae sedis;;incertae sedis;;;;;;;;;
778;;;incertae sedis;;incertae sedis;;;;;;;;;
779;;;incertae sedis;;incertae sedis;;;;;;;;;
780;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
781;;;incertae sedis;;incertae sedis;;;;;;;;;
782;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
783;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
784;;;incertae sedis;;incertae sedis;;;;;;;;;
785;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
786;;;incertae sedis;;incertae sedis;;;;;;;;;
787;;;incertae sedis;;incertae sedis;;;;;;;;;
788;;;incertae sedis;;incertae sedis;;;;;;;;;
789;;;incertae sedis;;incertae sedis;;;;;;;;;
790;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
791;;;incertae sedis;;incertae sedis;;;;;;;;;
792;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
793;;;incertae sedis;;incertae sedis;;;;;;;;;
794;;;incertae sedis;;incertae sedis;;;;;;;;;
795;;;incertae sedis;;incertae sedis;;;;;;;;;
796;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
797;;;incertae sedis;;incertae sedis;;;;;;;;;
798;;;incertae sedis;;incertae sedis;;;;;;;;;
799;;;incertae sedis;;incertae sedis;;;;;;;;;
800;;;incertae sedis;;incertae sedis;;;;;;;;;
801;;;incertae sedis;;incertae sedis;;;;;;;;;
802;;;incertae sedis;;incertae sedis;;;;;;;;;
803;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
804;;;incertae sedis;;incertae sedis;;;;;;;;;
805;;;incertae sedis;;incertae sedis;;;;;;;;;
806;;;incertae sedis;;incertae sedis;;;;;;;;;
807;;;incertae sedis;;incertae sedis;;;;;;;;;
808;;;incertae sedis;;incertae sedis;;;;;;;;;
809;;;incertae sedis;;incertae sedis;;;;;;;;;
810;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
811;;;incertae sedis;;incertae sedis;;;;;;;;;
812;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
813;;;incertae sedis;;incertae sedis;;;;;;;;;
814;;;incertae sedis;;incertae sedis;;;;;;;;;
815;;;incertae sedis;;incertae sedis;;;;;;;;;
816;;;incertae sedis;;incertae sedis;;;;;;;;;
817;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
818;;;incertae sedis;;incertae sedis;;;;;;;;;
819;;;incertae sedis;;incertae sedis;;;;;;;;;
820;;;incertae sedis;;incertae sedis;;;;;;;;;
821;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
822;;;incertae sedis;;incertae sedis;;;;;;;;;
823;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
824;;;incertae sedis;;incertae sedis;;;;;;;;;
825;;;incertae sedis;;incertae sedis;;;;;;;;;
826;;;incertae sedis;;incertae sedis;;;;;;;;;
827;;;incertae sedis;;incertae sedis;;;;;;;;;
828;;;incertae sedis;;incertae sedis;;;;;;;;;
829;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
830;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
831;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
832;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
833;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
834;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
835;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
836;;;incertae sedis;;incertae sedis;;;;;;;;;
837;;;incertae sedis;;incertae sedis;;;;;;;;;
838;;;incertae sedis;;incertae sedis;;;;;;;;;
839;;;incertae sedis;;incertae sedis;;;;;;;;;
840;;;incertae sedis;;incertae sedis;;;;;;;;;
841;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
842;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
843;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
844;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
845;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
846;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
847;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
848;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
849;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
850;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
851;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
852;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
853;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
854;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
855;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
856;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
857;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
858;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
859;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
860;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
861;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
862;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
863;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
864;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
865;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
866;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
867;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
868;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
869;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
870;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
871;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
872;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
873;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
874;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
875;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
876;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
877;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
878;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
879;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
880;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
881;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
882;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
883;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
884;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
885;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
886;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
887;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
888;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
889;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
890;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
891;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
