id;specimentype;species;scientificName;verbatimScientificName;sp_kingdom;sp_phylum;sp_class;sp_order;sp_family;sp_genus;genericName;specificEpithet;infraspecificEpithet;iucnRedListCategory
365;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
366;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
367;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
368;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
369;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
370;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
371;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
372;;;Clitellata;Hirudinea;Animalia;Annelida;Clitellata;;;;Clitellata;;;NE
373;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
374;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
375;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
376;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
377;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
378;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
379;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
380;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
381;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
382;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
383;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
384;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
385;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
386;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
387;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
388;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
389;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
390;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
391;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
392;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
393;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
394;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
395;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
396;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
397;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
398;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
399;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
400;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
401;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
402;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
403;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
404;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
405;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
406;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
407;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
408;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
409;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
410;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
411;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
412;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
413;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
414;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
415;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
416;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
417;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
418;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
419;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
420;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
421;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
422;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
423;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
424;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
425;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
426;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
427;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
428;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
429;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
430;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
431;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
432;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
433;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
434;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
435;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
436;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
437;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
438;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
439;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
440;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
441;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
442;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
443;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
444;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
445;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
446;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
447;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
448;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
449;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
450;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
451;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
452;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
453;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
454;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
455;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
456;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
457;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
458;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
459;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
460;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
461;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
462;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
463;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
464;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
465;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
466;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
467;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
468;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
469;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
470;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
471;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
472;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
473;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
474;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
475;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
476;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
477;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
478;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
479;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
480;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
481;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
482;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
483;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
484;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
485;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
486;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
487;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
488;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
489;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
490;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
491;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
492;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
493;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
494;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
495;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
496;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
497;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
498;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
499;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
500;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
501;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
502;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
503;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
504;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
505;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
