id;continent;countryCode;stateProvince;county;locality;decimalLatitude;decimalLongitude
842;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Geni;-4.806111;-49.317778
843;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Riva;-4.806111;-49.317778
844;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Galbão;-4.806111;-49.317778
845;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Joaquina;-4.806111;-49.317778
846;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Zé Rondon;-4.806111;-49.317778
847;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Galbão;-4.806111;-49.317778
848;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Riva;-4.806111;-49.317778
849;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Jurandir;-4.806111;-49.317778
850;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Joaquina;-4.806111;-49.317778
851;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba;-4.806111;-49.317778
852;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Jurandir;-4.806111;-49.317778
853;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Zé Rondon;-4.806111;-49.317778
854;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Geni;-4.806111;-49.317778
855;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Riva;-4.806111;-49.317778
856;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Geni;-4.806111;-49.317778
857;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Galbão;-4.806111;-49.317778
858;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Galbão;-4.806111;-49.317778
859;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Galbão;-4.806111;-49.317778
860;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Galbão;-4.806111;-49.317778
861;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Riva;-4.806111;-49.317778
862;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Galbão;-4.806111;-49.317778
863;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Josias;-4.806111;-49.317778
864;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Joaquina;-4.806111;-49.317778
865;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Galbão;-4.806111;-49.317778
866;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Geni;-4.806111;-49.317778
867;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Jurandir;-4.806111;-49.317778
868;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Galbão;-4.806111;-49.317778
869;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Jurandir;-4.806111;-49.317778
870;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Riva;-4.806111;-49.317778
871;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Riva;-4.806111;-49.317778
872;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Zé Rondon;-4.806111;-49.317778
873;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Galbão;-4.806111;-49.317778
874;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Riva;-4.806111;-49.317778
875;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Geni;-4.806111;-49.317778
876;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Josias;-4.806111;-49.317778
877;SOUTH_AMERICA;BR;Pará;Pacajá;Lote Egmar;-3.705833;-51.035
878;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Geni;-4.806111;-49.317778
879;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Geni;-5.849722;-49.865556
880;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Zé Rondon;-4.806111;-49.317778
881;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Zé Rondon;-4.806111;-49.317778
882;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Geni;-4.806111;-49.317778
883;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Jurandir;-4.806111;-49.317778
884;SOUTH_AMERICA;BR;Pará;Parauabepas;Palmares-Lote Mearim;-4.806111;-49.317778
885;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Josias;-4.806111;-49.317778
886;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Riva;-4.806111;-49.317778
887;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Galbão;-4.806111;-49.317778
888;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Zé Rondon;-4.806111;-49.317778
889;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Jurandir;-4.806111;-49.317778
890;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Jurandir;-4.806111;-49.317778
891;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Geni;-4.806111;-49.317778
